Country,Continent,Age,Pets,SexPartners,LifeSatisfaction,InternetUsage,DrinksPerWeek,Tabacco,Cannabis,HardDrugs
MinValue,None,0,0,0,0,0,0,0,0,0
MaxValue,None,100,10,50,10,200,35,100,100,100
Australia,Australia and Oceania region,36.9,0.83,13.3,7.5,18.8,11,0.17,0.103,0.034
Austria,Europe,41.8,0.59,9.7,7.3,14.4,13.03,0.44,0.035,0.009
Belgium,Europe,41.2,0.66,7.5,6.9,22.4,11.54,0.21,0.051,0.009
Canada,North America,39.9,1.07,10.7,7.7,41.3,8.76,0.14,0.13,0.0088
Chile,South America,32.1,1.17,10.1,6.6,25.3,9.19,0.34,0.05,0.01
China,Asia,34.5,0.09,1.3,4.7,23.5,6.31,0.23,0.004,0.025
Czech Republic,Europe,39.4,1.11,9,6.2,19.7,12.18,0.27,0.097,0.022
Denmark,Europe,40.6,0.5,9.3,7.8,20.6,11,0.21,0.054,0.009
Finland,Europe,42,0.48,12.4,7.4,27.8,10.36,0.17,0.036,0.005
France,Europe,39.9,0.73,8.1,6.8,27.9,12.82,0.27,0.084,0.009
Germany,Europe,44.3,0.33,5.8,6.7,24.7,12.5,0.25,0.048,0.008
Italy,Europe,43.2,0.6,11.8,6.4,18.5,7.37,0.22,0.145,0.022
Japan,Asia,44.7,0.47,10.2,6.1,21.9,7.8,0.25,0.0031,0.002
Netherlands,Europe,40.7,0.71,7,7.5,30.6,10.04,0.22,0.07,0.014
New Zealand,Australia and Oceania region,36.6,1.31,13.2,7.2,17.7,10.26,0.2,0.146,0.026
Norway,Europe,38.7,0.54,12.1,7.6,24.9,7.05,0.2,0.038,0.007
Poland,Europe,38,0.94,6,5.8,29.3,10.79,0.27,0.011,0.006
Portugal,Europe,41,0.79,7,4.9,20.6,12.18,0.2,0.036,0.006
Slovak Republic,Europe,36.9,0.4,5.4,6.1,10.1,11.43,0.23,0.069,0.016
Spain,Europe,40.1,0.58,6.1,6.2,23.8,12.18,0.28,0.106,0.027
Switzerland,Europe,41.4,0.56,11.1,7.5,16.6,10.68,0.19,0.034,0.0063
Turkey,Eurasia,28.3,0.24,14.5,5.5,31,1.6,0.27,0.019,0.0026
United Kingdom,Europe,39.8,0.65,9.8,7.2,38.9,10.9,0.16,0.063,0.019
United States,North America,36.9,1.27,10.7,7,43,9.29,0.16,0.14,0.058